planning_area,cbd_diff,ion_diff,sgh_diff,cbd_diff_score,ion_diff_score,sgh_diff_score,total_score
NOVENA,3.0,-1.0,20.0,1.0,1.0,0.8709677419354839,0.956989247311828
STRAITS VIEW,8.0,4.0,14.0,0.9166666666666666,0.9285714285714285,0.967741935483871,0.9376600102406553
ROCHOR,7.0,7.0,13.0,0.9333333333333333,0.8857142857142857,0.9838709677419355,0.9343061955965183
MARINA SOUTH,10.0,4.0,13.0,0.8833333333333333,0.9285714285714285,0.9838709677419355,0.9319252432155657
ORCHARD,5.0,12.0,12.0,0.9666666666666667,0.8142857142857143,1.0,0.9269841269841269
TANGLIN,9.0,3.0,18.0,0.9,0.9428571428571428,0.9032258064516129,0.9153609831029187
BISHAN,12.0,0.0,20.0,0.85,0.9857142857142857,0.8709677419354839,0.9022273425499231
GEYLANG,3.0,11.0,20.0,1.0,0.8285714285714285,0.8709677419354839,0.8998463901689707
QUEENSTOWN,7.0,14.0,14.0,0.9333333333333333,0.7857142857142857,0.967741935483871,0.8955965181771633
OUTRAM,8.0,12.0,15.0,0.9166666666666666,0.8142857142857143,0.9516129032258064,0.8941884280593958
JURONG EAST,9.0,10.0,16.0,0.9,0.8428571428571429,0.9354838709677419,0.8927803379416283
DOWNTOWN CORE,11.0,10.0,14.0,0.8666666666666667,0.8428571428571429,0.967741935483871,0.8924219150025602
KALLANG,8.0,12.0,20.0,0.9166666666666666,0.8142857142857143,0.8709677419354839,0.8673067076292883
SINGAPORE RIVER,9.0,12.0,20.0,0.9,0.8142857142857143,0.8709677419354839,0.8617511520737328
YISHUN,9.0,6.0,26.0,0.9,0.9,0.7741935483870968,0.8580645161290322
BEDOK,8.0,13.0,21.0,0.9166666666666666,0.7999999999999999,0.8548387096774194,0.8571684587813619
BUKIT MERAH,13.0,14.0,15.0,0.8333333333333334,0.7857142857142857,0.9516129032258064,0.8568868407578085
SEMBAWANG,9.0,6.0,27.0,0.9,0.9,0.7580645161290323,0.8526881720430107
CLEMENTI,11.0,13.0,19.0,0.8666666666666667,0.7999999999999999,0.8870967741935484,0.8512544802867383
RIVER VALLEY,11.0,12.0,22.0,0.8666666666666667,0.8142857142857143,0.8387096774193548,0.8398873527905786
NEWTON,12.0,12.0,27.0,0.85,0.8142857142857143,0.7580645161290323,0.8074500768049155
BUKIT PANJANG,18.0,9.0,24.0,0.75,0.8571428571428571,0.8064516129032258,0.804531490015361
MARINE PARADE,11.0,13.0,28.0,0.8666666666666667,0.7999999999999999,0.7419354838709677,0.8028673835125447
HOUGANG,16.0,17.0,23.0,0.7833333333333333,0.7428571428571429,0.8225806451612903,0.7829237071172553
BUKIT TIMAH,20.0,15.0,29.0,0.7166666666666667,0.7714285714285714,0.7258064516129032,0.7379672299027137
WOODLANDS,22.0,12.0,30.0,0.6833333333333333,0.8142857142857143,0.7096774193548387,0.7357654889912956
BUKIT BATOK,19.0,14.0,32.0,0.7333333333333333,0.7857142857142857,0.6774193548387096,0.7321556579621095
CHOA CHU KANG,17.0,30.0,21.0,0.7666666666666666,0.5571428571428572,0.8548387096774194,0.726216077828981
TOA PAYOH,19.0,13.0,34.0,0.7333333333333333,0.7999999999999999,0.6451612903225806,0.7261648745519712
ANG MO KIO,18.0,15.0,36.0,0.75,0.7714285714285714,0.6129032258064516,0.7114439324116743
PASIR RIS,17.0,22.0,31.0,0.7666666666666666,0.6714285714285714,0.6935483870967741,0.710547875064004
JURONG WEST,21.0,22.0,29.0,0.7,0.6714285714285714,0.7258064516129032,0.6990783410138249
SENGKANG,21.0,22.0,29.0,0.7,0.6714285714285714,0.7258064516129032,0.6990783410138249
PIONEER,23.0,23.0,30.0,0.6666666666666666,0.6571428571428571,0.7096774193548387,0.6778289810547875
PUNGGOL,24.0,23.0,29.0,0.65,0.6571428571428571,0.7258064516129032,0.6776497695852535
SERANGOON,29.0,21.0,34.0,0.5666666666666667,0.6857142857142857,0.6451612903225806,0.6325140809011777
MANDAI,27.0,24.0,35.0,0.6,0.6428571428571428,0.6290322580645161,0.623963133640553
WESTERN WATER CATCHMENT,25.0,29.0,33.0,0.6333333333333333,0.5714285714285714,0.6612903225806451,0.6220174091141834
MARINA EAST,20.0,32.0,42.0,0.7166666666666667,0.5285714285714286,0.5161290322580645,0.5871223758320533
SOUTHERN ISLANDS,32.0,27.0,35.0,0.5166666666666666,0.6,0.6290322580645161,0.5818996415770609
CHANGI,26.0,31.0,38.0,0.6166666666666667,0.5428571428571428,0.5806451612903225,0.5800563236047106
TENGAH,29.0,33.0,37.0,0.5666666666666667,0.5142857142857142,0.5967741935483871,0.559242191500256
TAMPINES,24.0,34.0,42.0,0.65,0.5,0.5161290322580645,0.5553763440860214
SUNGEI KADUT,40.0,19.0,48.0,0.3833333333333333,0.7142857142857143,0.4193548387096774,0.505657962109575
PAYA LEBAR,32.0,33.0,46.0,0.5166666666666666,0.5142857142857142,0.45161290322580644,0.4941884280593958
TUAS,37.0,38.0,44.0,0.43333333333333335,0.44285714285714284,0.4838709677419355,0.4533538146441372
BOON LAY,37.0,38.0,45.0,0.43333333333333335,0.44285714285714284,0.46774193548387094,0.4479774705581157
MUSEUM,40.0,31.0,49.0,0.3833333333333333,0.5428571428571428,0.4032258064516129,0.4431387608806963
SIMPANG,36.0,33.0,53.0,0.45,0.5142857142857142,0.3387096774193548,0.43433179723502296
SELETAR,44.0,41.0,45.0,0.31666666666666665,0.39999999999999997,0.46774193548387094,0.3948028673835125
LIM CHU KANG,56.0,69.0,62.0,0.11666666666666667,0.0,0.1935483870967742,0.10340501792114694
CENTRAL WATER CATCHMENT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WESTERN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NORTH-EASTERN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHANGI BAY,63.0,69.0,74.0,0.0,0.0,0.0,0.0
